,row,corp,group_corp,homebank_child_id,aclew_child_id,age_mo_round,child_sex,mat_ed_val,match_id,match_level_id,match_age,match_gender,match_mat_education,age_diff,gender_diff,mat_ed_diff
0,22,ROW,UK_English,unknown,1156,25,F,4,8897,C061,25,F,sc,0,same,0
1,23,ROW,UK_English,unknown,1735,21,F,5,7437,C030,21,F,cd,0,same,0
2,24,ROW,UK_English,unknown,1768,21,M,6,7132,C023,21,M,ad,0,same,0
3,25,ROW,UK_English,unknown,2745,18,M,4,851,C068,19,M,sc,1,same,0
4,26,ROW,UK_English,unknown,3486,31,M,3,7085,C078,31,M,sc,0,same,1
5,27,ROW,UK_English,unknown,7798,11,M,4,270,C040,11,M,cd,0,same,1
6,28,ROW,UK_English,unknown,8357,12,F,4,2693,C042,12,F,cd,0,same,1
7,29,ROW,UK_English,unknown,9408,27,M,6,2041,C036,27,M,ad,0,same,0
8,30,ROW,UK_English,unknown,9492,15,F,5,6648,C035,15,F,cd,0,same,0
9,31,ROW,UK_English,unknown,9801,19,F,6,4009,C006,19,F,ad,0,same,0
10,32,BER,NA_English,unknown,396,15,F,3,7117,35,15,F,sc,0,same,1
11,33,BER,NA_English,unknown,1196,9,F,4,459,20,9,F,sc,0,same,0
12,34,BER,NA_English,unknown,1618,7,M,4,5980,12,7,M,sc,0,same,0
13,35,BER,NA_English,unknown,1844,10,F,6,3439,1,10,F,ad,0,same,0
14,36,BER,NA_English,unknown,2927,13,F,5,2318,22,13,F,cd,0,same,0
15,37,BER,NA_English,unknown,3749,14,M,6,1836,2,14,M,ad,0,same,0
16,38,BER,NA_English,unknown,3895,8,M,4,990,18,8,M,sc,0,same,0
17,39,BER,NA_English,unknown,5750,7,F,6,4889,6,7,F,ad,0,same,0
18,40,BER,NA_English,unknown,6035,12,F,6,5242,10,12,F,ad,0,same,0
19,41,BER,NA_English,unknown,7758,17,M,5,256,3,17,M,cd,0,same,0
20,42,WAR,NA_English,0848_000907,1130,9,M,6,8602,955,9,M,cd,0,same,1
21,43,WAR,NA_English,0747_000302,2535,3,M,6,7928,204,3,M,sc,0,same,2
22,44,WAR,NA_English,0530_000304,3090,3,F,3,8684,274,3,F,cd,0,same,2
23,45,WAR,NA_English,0300_000607,3528,6,F,3,3174,623,3,M,sc,3,different,1
24,46,WAR,NA_English,0583_000904,4995,9,F,4,5792,804,3,M,sc,6,different,0
25,52,ROS,Arg_Spanish,unknown,790,12,F,3,8340,B-05,17,F,hs,5,same,0
26,53,ROS,Arg_Spanish,unknown,2534,9,M,6,873,M-03,8,M,ad,1,same,0
27,54,ROS,Arg_Spanish,unknown,3510,14,M,6,1092,M-06,14,F,cd,0,Different,1
28,55,ROS,Arg_Spanish,unknown,6026,27,M,6,5456,M-05,27,M,ad,0,same,0
29,56,ROS,Arg_Spanish,unknown,7903,18,F,5,9959,M-10,21,F,cd,4,same,0
30,57,ROS,Arg_Spanish,unknown,9051,19,M,5,2280,M-04,18,F,cd,1,different,0
31,58,ROS,Arg_Spanish,unknown,9426,16,M,3,9378,B-04,17,M,Hs,1,same,0
32,59,ROS,Arg_Spanish,unknown,1299,23,M,2,5293,B-07,25,M,bhs,2,same,0
33,12,SOD,NA_English,2011,1499,32,F,3,5134,CW174,19,F,bhs,13,same,1
34,13,SOD,NA_English,109,4736,9,M,2,8496,CW176,10,M,bhs,1,same,0
35,14,SOD,NA_English,103,9854,17,M,2,6045,CW186,17,M,bhs,0,same,0
,47,WAR,NA_English,0857_000530,5613,6,M,2,602,833,3,F,ad,,,
,48,WAR,NA_English,0651_000908,5959,9,M,6,9769,973,6,M,cd,,,
,15,SOD,NA_English,111,4483,5,M,3,8560,110,10,F,bhs,,,
,16,SOD,NA_English,2022,3634,14,F,0,9106,106,3,F,bhs,,,
,17,SOD,NA_English,102,8445,8,F,2,9733,101,10,F,bhs,,,
,60,ROS,Arg_Spanish,unknown,8788,21,F,3,8569,B-03,23,F,bhs,2,Same,1