aclew_id,labname,age_mo_round,child_sex,language,number_older_sibs,region
643,CAS,2,M,Tseltal,5,Southern Mexico
7176,CAS,4,M,Tseltal,1,Southern Mexico
8179,CAS,6,F,Tseltal,0,Southern Mexico
2109,CAS,7,F,Tseltal,0,Southern Mexico
8787,CAS,11,M,Tseltal,1,Southern Mexico
7326,CAS,14,M,Tseltal,0,Southern Mexico
7220,CAS,22,F,Tseltal,1,Southern Mexico
6216,CAS,27,F,Tseltal,0,Southern Mexico
2625,CAS,32,F,Tseltal,1,Southern Mexico
3026,CAS,36,M,Tseltal,2,Southern Mexico
1499,SOD,32,F,French,0,Winnipeg Manitoba Canada
3542,SOD,2,F,English,0,Winnipeg Manitoba Canada
3634,SOD,14,F,English,1,Winnipeg Manitoba Canada
4483,SOD,5,M,English,0,Winnipeg Manitoba Canada
8445,SOD,8,F,English,0,Winnipeg Manitoba Canada
8924,SOD,11,F,English,0,Winnipeg Manitoba Canada
9527,SOD,12,F,English,1,Winnipeg Manitoba Canada
9854,SOD,17,M,English,0,Winnipeg Manitoba Canada
9858,SOD,13,M,English,0,Winnipeg Manitoba Canada
1156,ROW,25,F,British English,2,Northwest England
1735,ROW,21,F,British English,1,Northwest England
1768,ROW,21,M,British English,0,Northwest England
2745,ROW,18,M,British English,0,Northwest England
3486,ROW,31,M,British English,1,Northwest England
7798,ROW,11,M,British English,0,Northwest England
8357,ROW,12,F,British English,1,Northwest England
9408,ROW,27,M,British English,0,Northwest England
9492,ROW,15,F,British English,1,Northwest England
9801,ROW,19,F,British English,1,Northwest England
396,BER,15,F,English,0,Rochester NY USA
1196,BER,9,F,English,3,Rochester NY USA
1618,BER,7,M,English,1,Rochester NY USA
1844,BER,10,F,English,0,Rochester NY USA
2927,BER,13,F,English,1,Rochester NY USA
3749,BER,14,M,English,0,Rochester NY USA
3895,BER,8,M,English,4,Rochester NY USA
5750,BER,7,F,English,3,Rochester NY USA
6035,BER,12,F,English,0,Rochester NY USA
7758,BER,17,M,English,0,Rochester NY USA
1130,WAR,9,M,English,1,Central Valley California
2535,WAR,3,M,English,0,Central Valley California
3090,WAR,3,F,English Spanish,1,Central Valley California
3528,WAR,6,F,English,3,Central Valley California
4995,WAR,9,F,English German,1,Central Valley California
5613,WAR,6,M,Spanish,1,Central Valley California
5959,WAR,9,M,English,0,Central Valley California
9398,WAR,6,F,English,0,Central Valley California
9427,WAR,9,M,English,0,Central Valley California
9755,WAR,3,F,English,1,Central Valley California
790,ROS,12,F,Spanish,0,Moreno Buenos Aires
2534,ROS,9,M,Spanish,3,Remedios de Escalada
3510,ROS,14,M,Spanish,1,Caba Arg
6026,ROS,27,M,Spanish,1,Caba Arg
7903,ROS,18,F,Spanish,1,Lanus Oeste
9051,ROS,19,M,Spanish,2,Olivios
9426,ROS,16,M,Spanish,2,Lugano
1299,ROS,23,M,Spanish,2,Caba Arg
8788,ROS,21,F,Spanish,0,"Derqui, Metropolitan Area of Buenos Aires, ARG"
9909,ROS,12,F,Spanish,2,"Wilde, Metropolitan Area of Buenos Aires, ARG"